From;To;Resources;Network_type;tc_min;tc_max
SIN;SA-BN;ELECTRICITY;HVAC_LINE;0;0
SA-BN;SIN;ELECTRICITY;HVAC_LINE;0;0
SIN;SA-PA;ELECTRICITY;HVAC_LINE;0;0
SA-PA;SIN;ELECTRICITY;HVAC_LINE;0;0
SIN;SA-TJ;ELECTRICITY;HVAC_LINE;0;0
SA-TJ;SIN;ELECTRICITY;HVAC_LINE;0;0
SIN;SA-SC;ELECTRICITY;HVAC_LINE;0;0
SA-SC;SIN;ELECTRICITY;HVAC_LINE;0;0
SIN;HL;ELECTRICITY;HVAC_LINE;0;0
HL;SIN;ELECTRICITY;HVAC_LINE;0;0
SIN;LL;ELECTRICITY;HVAC_LINE;0;0
LL;SIN;ELECTRICITY;HVAC_LINE;0;0
SIN;VL;ELECTRICITY;HVAC_LINE;0;0
VL;SIN;ELECTRICITY;HVAC_LINE;0;0
SIN;SA-BN;GAS;GAS_PIPELINE;0;0
SA-BN;SIN;GAS;GAS_PIPELINE;0;0
SIN;SA-PA;GAS;GAS_PIPELINE;0;0
SA-PA;SIN;GAS;GAS_PIPELINE;0;0
SIN;SA-TJ;GAS;GAS_PIPELINE;0;1.563046
SA-TJ;SIN;GAS;GAS_PIPELINE;0;1.563046
SIN;SA-SC;GAS;GAS_PIPELINE;0;1.944717
SA-SC;SIN;GAS;GAS_PIPELINE;0;1.944717
SIN;HL;GAS;GAS_PIPELINE;0;0
HL;SIN;GAS;GAS_PIPELINE;0;0
SIN;LL;GAS;GAS_PIPELINE;0;0
LL;SIN;GAS;GAS_PIPELINE;0;0
SIN;VL;GAS;GAS_PIPELINE;0;0
VL;SIN;GAS;GAS_PIPELINE;0;0
SIN;SA-BN;DIESEL;DIESEL_PIPELINE;0;0
SA-BN;SIN;DIESEL;DIESEL_PIPELINE;0;0
SIN;SA-PA;DIESEL;DIESEL_PIPELINE;0;0
SA-PA;SIN;DIESEL;DIESEL_PIPELINE;0;0
SIN;SA-TJ;DIESEL;DIESEL_PIPELINE;0;0
SA-TJ;SIN;DIESEL;DIESEL_PIPELINE;0;0
SIN;SA-SC;DIESEL;DIESEL_PIPELINE;0;0
SA-SC;SIN;DIESEL;DIESEL_PIPELINE;0;0
SIN;HL;DIESEL;DIESEL_PIPELINE;0;0
HL;SIN;DIESEL;DIESEL_PIPELINE;0;0
SIN;LL;DIESEL;DIESEL_PIPELINE;0;0
LL;SIN;DIESEL;DIESEL_PIPELINE;0;0
SIN;VL;DIESEL;DIESEL_PIPELINE;0;0
VL;SIN;DIESEL;DIESEL_PIPELINE;0;0
SIN;SA-BN;GASOLINE;GASOLINE_PIPELINE;0;0
SA-BN;SIN;GASOLINE;GASOLINE_PIPELINE;0;0
SIN;SA-PA;GASOLINE;GASOLINE_PIPELINE;0;0
SA-PA;SIN;GASOLINE;GASOLINE_PIPELINE;0;0
SIN;SA-TJ;GASOLINE;GASOLINE_PIPELINE;0;0
SA-TJ;SIN;GASOLINE;GASOLINE_PIPELINE;0;0
SIN;SA-SC;GASOLINE;GASOLINE_PIPELINE;0;0
SA-SC;SIN;GASOLINE;GASOLINE_PIPELINE;0;0
SIN;HL;GASOLINE;GASOLINE_PIPELINE;0;0
HL;SIN;GASOLINE;GASOLINE_PIPELINE;0;0
SIN;LL;GASOLINE;GASOLINE_PIPELINE;0;0
LL;SIN;GASOLINE;GASOLINE_PIPELINE;0;0
SIN;VL;GASOLINE;GASOLINE_PIPELINE;0;0
VL;SIN;GASOLINE;GASOLINE_PIPELINE;0;0
SIN;SA-BN;LPG;LPG_PIPELINE;0;0
SA-BN;SIN;LPG;LPG_PIPELINE;0;0
SIN;SA-PA;LPG;LPG_PIPELINE;0;0
SA-PA;SIN;LPG;LPG_PIPELINE;0;0
